"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","q95hd","u_q95hd","hrmode","u_hrmode","skew","u_skew","skewgm","u_skewgm","skewgm_f","u_skewgm_f","skewgm_mcf","u_skewgm_mcf","kurt","u_kurt","kurtcs","u_kurtcs","kurtcs_f","u_kurtcs_f","kurtcs_mcf","u_kurtcs_mcf","gini","u_gini","gimc","u_gimc"
"WU2015","LC-HCTH",-1,FALSE,1.7634,0.098,1.3083,0.13,1.6887,0.12,4.3486,0.29,1.5774,0.34,-0.34614,0.26,-0.16054,0.062,0.16839,0.062,0.35997,0.085,3.7577,0.68,0.44907,0.36,0.21897,0.32,-0.356,0.37,0.37386,0.021,0.46569,0.023
"WU2015","LC-tHCTH",-1,FALSE,1.3844,0.1,-0.10833,0.14,1.821,0.13,3.6709,0.25,-0.038056,0.54,-0.47767,0.27,-0.10223,0.06,0.27934,0.059,0.27117,0.076,3.9019,0.75,0.36951,0.35,-0.069034,0.44,-0.048693,0.39,0.45056,0.022,0.44928,0.021
"WU2015","M11",-1,FALSE,1.3293,0.087,-0.24264,0.13,1.6638,0.11,3.5204,0.33,0.76115,0.69,-0.02963,0.24,-0.082644,0.087,0.35937,0.075,0.29716,0.092,3.3079,0.39,0.099412,0.36,0.60823,0.39,-0.40676,0.37,0.40839,0.021,0.45671,0.024
"WU2015","CAM-B3LYP",-1,FALSE,1.5111,0.12,-1.0295,0.14,1.8014,0.13,4.6586,0.28,-0.02287,0.35,-0.31673,0.26,-0.20797,0.072,0.35594,0.084,0.35717,0.086,3.77,0.43,0.82807,0.43,0.02112,0.3,0.039431,0.36,0.49741,0.022,0.49889,0.023
"WU2015","wB97XD",-1,FALSE,1.5897,0.12,-1.1212,0.15,1.833,0.13,4.7829,0.27,-0.19557,0.47,-0.25783,0.26,-0.18985,0.073,0.33282,0.081,0.35337,0.095,3.6915,0.43,0.73821,0.42,-0.028475,0.3,0.10789,0.39,0.48362,0.022,0.49103,0.024
"WU2015","wB97",-1,FALSE,1.4456,0.087,0.13959,0.14,1.7694,0.097,3.3941,0.19,0.74691,0.4,-0.02014,0.15,-0.12487,0.083,0.3443,0.068,0.27258,0.093,2.6058,0.23,-0.067835,0.29,-0.36366,0.31,-0.94742,0.27,0.39126,0.018,0.44638,0.023
"WU2015","wB97X",-1,FALSE,1.4091,0.098,-0.54504,0.14,1.7339,0.1,3.6316,0.19,0.39295,0.47,-0.10717,0.17,-0.105,0.07,0.35836,0.095,0.25584,0.099,2.9059,0.26,0.27282,0.29,-0.4973,0.26,-0.46874,0.28,0.4418,0.019,0.46218,0.024
"WU2015","N12-SX",-1,FALSE,1.5768,0.15,-0.73318,0.18,2.242,0.19,5.788,0.5,0.2172,0.31,-0.66981,0.36,-0.27521,0.078,0.53081,0.076,0.47273,0.091,5.0437,0.72,2.0471,0.61,1.4215,0.52,1.2994,0.49,0.5425,0.021,0.54883,0.025
"WU2015","MN12-SX",-1,FALSE,4.8207,0.18,-4.7226,0.19,2.4062,0.21,9.5887,0.6,-3.3269,0.55,-0.44567,0.43,-0.24973,0.074,0.3262,0.06,0.53565,0.078,5.1498,0.76,1.273,0.72,0.78492,0.46,0.8157,0.64,0.24227,0.014,0.52237,0.024
"WU2015","HSE06",-1,FALSE,2.0901,0.15,-1.8027,0.17,2.0787,0.19,6.0493,0.47,-1.1143,0.25,-0.44764,0.46,-0.26446,0.082,0.46414,0.07,0.48438,0.067,5.6685,0.83,2.0874,0.73,0.96967,0.45,1.6695,0.57,0.43588,0.02,0.54683,0.025
"WU2015","HISS",-1,FALSE,1.8746,0.11,1.0518,0.16,2.0231,0.16,4.2476,0.4,1.8953,0.43,-0.61463,0.26,-0.19875,0.071,0.17272,0.065,0.50689,0.07,4.206,0.56,1.3569,0.5,0.40289,0.45,0.69034,0.45,0.37312,0.022,0.51131,0.024
"ZAS2019","HF",-1,FALSE,2.381,0.027,0.055514,0.041,3.1307,0.041,6.0671,0.11,0.62,0.38,-0.68547,0.072,-0.12102,0.011,0.32544,0.012,0.33474,0.015,5.1281,0.26,0.34519,0.06,0.19045,0.079,0.36815,0.1,0.43715,0.0037,0.45074,0.0064
"ZAS2019","MP2",-1,FALSE,1.309,0.013,0.00010465,0.021,1.6661,0.016,3.3459,0.053,-0.25,0.25,-0.067702,0.034,-0.048639,0.011,0.27471,0.012,0.24637,0.034,3.3332,0.059,0.14486,0.067,0.086382,0.064,-0.010238,0.078,0.42418,0.0032,0.418,0.0063
"ZAS2019","SLATM_L2",-1,FALSE,1.2596,0.026,0.12976,0.032,2.443,0.08,4.6923,0.15,0.14,0.076,0.79971,0.54,0.052329,0.022,0.64719,0.01,0.63847,0.011,28.515,2.7,4.4766,0.25,3.5075,0.27,3.5312,0.27,0.61015,0.0056,0.60861,0.0059
"ZHA2018","PBE",-1,FALSE,0.21057,0.0098,-0.20545,0.01,0.1504,0.0084,0.46667,0.034,-0.251,0.073,-0.54778,0.22,-0.043216,0.064,0.089877,0.066,0.24381,0.076,3.678,0.58,-0.17465,0.28,-0.32823,0.27,-0.34892,0.49,0.3764,0.019,0.40806,0.018
"ZHA2018","SCAN",-1,FALSE,0.10245,0.0069,-0.016541,0.0097,0.14102,0.0093,0.29072,0.021,-0.028,0.017,-0.30373,0.28,-0.0067994,0.067,0.45542,0.046,0.47534,0.068,4.4101,0.64,1.4905,0.53,-0.13656,0.36,-0.18162,0.35,0.4964,0.018,0.50297,0.019
