"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","hrmode","u_hrmode","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_GandHBias1","g=0.1",-2,FALSE,0.87324,0.022,0.39675,0.032,1.0355,0.023,-5.5511e-17,0.22,0.21976,0.073,3.0388,0.15,0.016235,0.13,2.2043,0.068,0.42406,0.0085,0.85085,0.018,0.30813,0.007
"Ref_GandHBias1","g=0.2",-2,FALSE,0.80479,0.022,0.34146,0.031,1.0244,0.028,0,0.18,0.74404,0.098,4.0659,0.31,0.41451,0.16,2.2498,0.12,0.45984,0.0091,0.88903,0.018,0.33383,0.0075
"Ref_GandHBias1","g=0.3",-2,FALSE,0.82858,0.025,0.26675,0.035,1.1343,0.053,0,0.2,1.6782,0.42,10.343,3.7,0.23127,0.15,2.3291,0.11,0.46751,0.011,0.87188,0.019,0.33692,0.0079
"Ref_GandHBias1","g=0.4",-2,FALSE,0.85887,0.027,0.43298,0.037,1.1373,0.042,0,0.28,1.415,0.2,6.547,1.4,0.36385,0.17,2.644,0.18,0.47959,0.01,0.95916,0.023,0.34455,0.0081
"Ref_GandHBias1","g=0.5",-2,FALSE,0.9226,0.032,0.61534,0.039,1.2297,0.055,0,0.23,1.8893,0.19,9.0875,1.2,0.40556,0.25,2.7441,0.15,0.50705,0.01,0.98283,0.019,0.3691,0.0087
"Ref_GandHBias1","g=0.6",-2,FALSE,1.1395,0.038,1.0583,0.04,1.2476,0.05,0,0.23,1.7088,0.17,7.5064,1,0.37444,0.19,3.4286,0.13,0.51247,0.0092,0.88188,0.017,0.37928,0.0076
"Ref_GandHBias1","g=0.7",-2,FALSE,1.1007,0.041,1.0168,0.043,1.3524,0.099,0,0.24,2.9307,0.62,20.483,6.4,0.66755,0.24,3.407,0.15,0.53586,0.011,0.88703,0.018,0.39637,0.0086
"Ref_GandHBias1","g=0.8",-2,FALSE,1.0897,0.049,0.95425,0.052,1.6361,0.11,0,0.15,3.2861,0.35,19.747,3.5,1.1166,0.32,3.9773,0.28,0.59439,0.011,0.92169,0.018,0.44639,0.0096
"Ref_GandHBias1","g=0.9",-2,FALSE,0.91559,0.043,0.55715,0.049,1.517,0.11,5.5511e-17,0.21,3.3889,0.43,21.417,4.7,1.5755,0.41,3.1581,0.19,0.56559,0.013,1.0935,0.018,0.41857,0.012
"Ref_GandHBias1","g=1",-2,FALSE,1.2948,0.066,1.2318,0.067,2.1158,0.18,2.7756e-17,0.077,4.2267,0.57,30.748,6.8,2.1366,0.48,4.8216,0.34,0.6348,0.012,0.94629,0.017,0.48134,0.01
