"Dataset","Methods","ctd","out","mue","u_mue","mse","u_mse","rmsd","u_rmsd","skew","u_skew","kurt","u_kurt","kurtcs","u_kurtcs","q95hd","u_q95hd","gini","u_gini","lasym","u_lasym","pietra","u_pietra"
"Ref_GandHBias1","g=0.4",-1,FALSE,1.2264,0.035,1.1739,0.037,1.1373,0.042,1.415,0.2,6.547,1.4,0.36385,0.17,3.385,0.18,0.45633,0.0091,0.87281,0.018,0.33044,0.0073
"Ref_GandHBias1","g=0.5",-1,FALSE,1.2808,0.038,1.2496,0.039,1.2297,0.055,1.8893,0.19,9.0875,1.2,0.40556,0.25,3.3784,0.15,0.47002,0.0098,0.86888,0.018,0.34062,0.0077
"Ref_GandHBias1","g=0.6",-1,FALSE,1.3493,0.04,1.3313,0.04,1.2476,0.05,1.7088,0.17,7.5064,1,0.37444,0.19,3.7015,0.13,0.46583,0.009,0.88016,0.019,0.33812,0.0072
"Ref_GandHBias1","g=0.7",-1,FALSE,1.3643,0.043,1.3557,0.043,1.3524,0.099,2.9307,0.62,20.483,6.4,0.66755,0.24,3.7458,0.15,0.47152,0.011,0.91225,0.019,0.34003,0.008
"Ref_GandHBias1","g=0.8",-1,FALSE,1.4565,0.052,1.4541,0.052,1.6361,0.11,3.2861,0.35,19.747,3.5,1.1166,0.32,4.4772,0.28,0.50255,0.011,0.936,0.019,0.36479,0.0088
"Ref_GandHBias1","g=0.9",-1,FALSE,1.4434,0.049,1.4433,0.049,1.517,0.11,3.3889,0.43,21.417,4.7,1.5755,0.41,4.0442,0.19,0.4701,0.011,0.97823,0.02,0.33715,0.0088
"Ref_GandHBias1","g=1",-1,FALSE,1.6637,0.067,1.6637,0.067,2.1158,0.18,4.2267,0.57,30.748,6.8,2.1366,0.48,5.2536,0.34,0.52178,0.012,1.0251,0.02,0.38565,0.01
"Ref_GandHBias2","g=0.1",-1,FALSE,2.1221,0.032,2.1138,0.033,1.046,0.026,0.42697,0.11,3.5446,0.32,-0.071619,0.12,3.9587,0.078,0.27172,0.0061,0.87453,0.019,0.19311,0.0046
"Ref_GandHBias2","g=0.2",-1,FALSE,2.0937,0.032,2.0922,0.032,1.0045,0.028,0.63063,0.092,3.6729,0.3,0.13063,0.12,3.9324,0.073,0.26576,0.0063,0.88937,0.02,0.18726,0.0047
"Ref_GandHBias2","g=0.3",-1,FALSE,2.1354,0.034,2.1354,0.034,1.0622,0.036,1.1936,0.21,6.0328,1.4,0.32653,0.16,4.0823,0.13,0.26782,0.006,0.96358,0.019,0.18941,0.0045
"Ref_GandHBias2","g=0.4",-1,FALSE,2.2097,0.037,2.2097,0.037,1.1639,0.042,1.3988,0.15,6.4147,0.8,0.32646,0.18,4.2527,0.13,0.27985,0.0063,0.93953,0.019,0.19983,0.0047
"Ref_GandHBias2","g=0.5",-1,FALSE,2.2941,0.035,2.2941,0.035,1.1759,0.039,1.3181,0.14,5.5899,0.78,0.071819,0.15,4.6013,0.11,0.27373,0.0056,1.0002,0.019,0.197,0.0044
"Ref_GandHBias2","g=0.6",-1,FALSE,2.2864,0.038,2.2864,0.038,1.2133,0.05,1.8213,0.17,7.9264,1.2,0.75225,0.21,4.6954,0.16,0.2704,0.0064,1.0433,0.02,0.1929,0.0049
"Ref_GandHBias2","g=0.7",-1,FALSE,2.3876,0.047,2.3876,0.047,1.5185,0.13,3.9608,0.89,34.541,11,0.77385,0.28,5.0926,0.17,0.28815,0.0088,1.0826,0.02,0.20844,0.0065
"Ref_GandHBias2","g=0.8",-1,FALSE,2.4604,0.054,2.4604,0.054,1.657,0.11,3.1587,0.38,18.783,4.1,1.0108,0.31,5.3974,0.23,0.30557,0.0089,1.1185,0.019,0.22222,0.007
"Ref_GandHBias2","g=0.9",-1,FALSE,2.5477,0.057,2.5477,0.057,1.8243,0.16,4.1513,0.94,35.344,14,1.5863,0.36,5.7651,0.3,0.30995,0.0099,1.1151,0.02,0.22793,0.0076
"Ref_GandHBias2","g=1",-1,FALSE,2.5771,0.061,2.5771,0.061,1.991,0.17,4.3617,0.6,33.387,7.7,1.7278,0.41,5.9353,0.37,0.3179,0.011,1.1089,0.02,0.23506,0.0083
"BOR2019","LDA",-1,FALSE,1.1672,0.048,1.1522,0.049,1.0693,0.093,2.7092,0.59,16.19,5.8,1.5666,0.48,3.183,0.21,0.42418,0.015,0.96949,0.038,0.29581,0.012
"BOR2019","LDA + SOC",-1,FALSE,1.2387,0.048,1.231,0.049,1.0616,0.093,2.7664,0.61,16.676,6,1.6548,0.49,3.258,0.22,0.39994,0.015,0.99866,0.045,0.27754,0.011
"BOR2019","PBE",-1,FALSE,1.0523,0.046,1.0267,0.047,1.0261,0.093,2.7939,0.66,17.579,6.6,1.6037,0.49,2.9538,0.2,0.44188,0.016,0.9755,0.029,0.31113,0.012
"BOR2019","PBE + SOC",-1,FALSE,1.1248,0.046,1.1138,0.046,1.0144,0.094,2.9045,0.68,18.452,6.9,1.6426,0.5,3.0397,0.2,0.41528,0.015,0.97881,0.036,0.28934,0.012
"BOR2019","PBE_SOL",-1,FALSE,1.1172,0.047,1.0986,0.047,1.0389,0.089,2.6475,0.59,15.83,5.7,1.5244,0.49,3.0807,0.2,0.43052,0.015,0.97457,0.033,0.30106,0.012
"BOR2019","HLE16",-1,FALSE,0.59884,0.037,0.37368,0.042,0.89549,0.084,2.7375,0.54,17.316,4.2,1.5827,0.46,1.8837,0.18,0.54012,0.018,0.96741,0.031,0.39118,0.015
"BOR2019","HLE16 + SOC",-1,FALSE,0.61015,0.038,0.51123,0.04,0.85954,0.089,3.1985,0.6,21.006,5.3,1.6353,0.47,1.9517,0.19,0.55013,0.018,0.96532,0.031,0.40225,0.015
"BOR2019","BJ",-1,FALSE,0.79105,0.037,0.72717,0.039,0.86942,0.073,2.5292,0.52,14.734,4.6,1.7409,0.47,2.3121,0.2,0.46739,0.016,0.95785,0.031,0.33398,0.012
"BOR2019","mBJ",-1,FALSE,0.49656,0.025,0.22212,0.031,0.68348,0.051,1.4937,0.52,10.421,3.2,0.72105,0.32,1.4059,0.081,0.49003,0.016,0.88401,0.028,0.35817,0.012
"BOR2019","SCAN",-1,FALSE,0.8131,0.039,0.74266,0.042,0.91975,0.085,2.7898,0.68,18.037,6.6,1.5767,0.47,2.4318,0.19,0.47337,0.017,0.95303,0.031,0.33818,0.013
"BOR2019","HSE06",-1,FALSE,0.52636,0.031,0.098536,0.037,0.84744,0.075,2.4106,0.68,16.558,5.8,2.6622,0.5,1.6994,0.16,0.54605,0.017,0.97369,0.027,0.40153,0.014
"BOR2019","HSE14",-1,FALSE,0.57269,0.03,-0.17169,0.036,0.83054,0.061,1.1504,0.54,10.811,2.4,2.3462,0.43,1.8164,0.13,0.51165,0.015,0.89279,0.027,0.37239,0.012
"BOR2019","HSE_mix",-1,FALSE,0.64283,0.032,-0.36956,0.038,0.85645,0.054,-0.32023,0.45,7.9144,1.5,1.9823,0.4,1.9721,0.13,0.51586,0.015,0.86526,0.027,0.37667,0.012
"BOR2019","PBE0",-1,FALSE,0.7777,0.028,-0.47213,0.039,0.86792,0.072,2.1088,0.62,14.5,4.6,2.8445,0.49,1.8296,0.12,0.37808,0.014,0.92321,0.031,0.26691,0.01
"BOR2019","PBE0_mix",-1,FALSE,0.81724,0.036,-0.59525,0.043,0.96544,0.054,-0.83836,0.3,6.4592,0.91,1.7571,0.38,2.445,0.15,0.47448,0.014,0.90828,0.025,0.34425,0.011
"HAI2018","HF",-1,FALSE,0.2269,0.016,-0.13749,0.022,0.2691,0.026,-0.57203,0.53,6.3666,1.8,2.2868,0.9,0.60638,0.034,0.43514,0.021,0.92407,0.048,0.32424,0.017
"HAI2018","MP2",-1,FALSE,0.20864,0.056,-0.15212,0.056,0.69006,0.23,-7.0885,1.9,64.099,24,23.749,13,1.0081,0.31,0.8119,0.036,0.98134,0.037,0.66358,0.039
"HAI2018","CCSD",-1,FALSE,0.045609,0.0035,-0.034281,0.0042,0.052865,0.0043,-0.87871,0.27,4.9552,0.79,1.8258,0.54,0.13909,0.015,0.47964,0.022,0.91494,0.047,0.34996,0.019
"HAI2018","RHF",-1,FALSE,0.23836,0.017,-0.17634,0.021,0.2667,0.024,-0.76264,0.49,6.2851,1.7,2.2852,0.82,0.65252,0.049,0.44377,0.021,0.93878,0.047,0.32806,0.018
"HAI2018","RMP2",-1,FALSE,0.067823,0.0078,-0.013132,0.0098,0.11845,0.013,-0.936,0.72,8.9741,2,8.6004,2.2,0.28218,0.038,0.64123,0.022,0.9271,0.04,0.50092,0.021
"HAI2018","Slater",-1,FALSE,0.19624,0.022,0.099869,0.025,0.31696,0.056,2.3129,1.4,20.664,6.8,1.8998,1.3,0.62102,0.16,0.53691,0.036,0.95987,0.052,0.38464,0.027
"HAI2018","SVWN5",-1,FALSE,0.15906,0.018,0.057882,0.021,0.26409,0.047,1.3079,1.8,20.853,6.5,1.6431,1.3,0.48215,0.12,0.54424,0.037,0.86997,0.066,0.38625,0.027
"HAI2018","SPW92",-1,FALSE,0.15945,0.018,0.058172,0.021,0.26397,0.047,1.2679,1.8,20.573,6.4,1.6363,1.3,0.4829,0.12,0.5437,0.037,0.86594,0.067,0.3857,0.027
"HAI2018","PBE",-1,FALSE,0.15157,0.014,0.088688,0.017,0.21038,0.031,-0.25904,1.4,14.203,3,1.7384,1.1,0.44734,0.098,0.49608,0.031,0.92594,0.06,0.35323,0.023
"HAI2018","BLYP",-1,FALSE,0.15203,0.016,0.090505,0.019,0.23283,0.042,1.3437,1.8,21.164,6.4,3.0384,1.6,0.5044,0.11,0.50766,0.036,1.0147,0.05,0.36656,0.029
"HAI2018","PBE0",-1,FALSE,0.062295,0.0063,0.010123,0.0077,0.09774,0.013,-0.55305,1.1,12.161,2.5,1.5437,1.1,0.17663,0.041,0.53576,0.03,0.8524,0.046,0.39538,0.023
"HAI2018","B3LYP",-1,FALSE,0.077092,0.01,0.021637,0.012,0.14505,0.03,2.3085,2.1,27.645,9.3,3.1502,1.9,0.26383,0.074,0.57303,0.039,0.99232,0.06,0.41552,0.032
"HAI2018","TPSS",-1,FALSE,0.12064,0.011,0.064682,0.013,0.16701,0.025,-1.8072,1.1,14.574,3.9,1.5437,1.1,0.33584,0.068,0.50036,0.029,0.87707,0.049,0.36587,0.022
"HAI2018","TPSSh",-1,FALSE,0.085186,0.0082,0.036234,0.0098,0.12662,0.019,-1.9687,1.1,15.218,4.2,1.6824,1.2,0.24836,0.05,0.52138,0.03,0.86874,0.051,0.38379,0.022
"HAI2018","SCAN",-1,FALSE,0.091938,0.0094,0.024408,0.011,0.14517,0.022,-0.34959,1.5,15.256,3.3,1.6788,1.3,0.25158,0.07,0.51755,0.033,0.87278,0.06,0.37517,0.024
"HAI2018","m06",-1,FALSE,0.063951,0.0053,0.0076092,0.0072,0.091247,0.0098,-1.4447,0.45,8.0089,1.7,1.9087,0.85,0.17976,0.028,0.48791,0.027,0.87196,0.05,0.35422,0.021
"HAI2018","m06-l",-1,FALSE,0.12579,0.012,0.032576,0.016,0.19944,0.03,-2.8348,0.6,15.721,4.1,2.8445,1.2,0.40623,0.11,0.5176,0.033,0.90501,0.055,0.37483,0.024
"HAI2018","m06-2X",-1,FALSE,0.069976,0.0079,-0.016236,0.0095,0.1205,0.022,2.607,1.4,21.315,6.1,2.7267,1.6,0.22205,0.048,0.5529,0.035,0.97452,0.073,0.3959,0.029
"HAI2018","mn15",-1,FALSE,0.080482,0.017,-0.0043691,0.018,0.22944,0.091,8.5112,3.5,91.471,35,4.8838,4.7,0.26135,0.067,0.62788,0.066,1.0813,0.069,0.46494,0.058
